,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
466,Christian Gaeta,5,2,0.40,0,0.00,7,1.40,7,1.40,18,3.60,94.70,80,16.00
467,Kevin Anthony,6,2,0.33,1,0.17,2,0.33,2,0.33,23,3.83,92.00,66,11.00
468,David Innis,11,2,0.18,11,1.00,4,0.36,-13,-1.18,441,40.09,94.20,213,19.36
469,Player Pierce,11,2,0.18,31,2.82,4,0.36,15,1.36,389,35.36,94.60,229,20.82
470,Kyle Cantal,8,2,0.25,0,0.00,4,0.50,2,0.25,24,3.00,88.90,131,16.38
471,Keivaun Waugh,7,2,0.29,6,0.86,1,0.14,-2,-0.29,218,31.14,96.00,146,20.86
472,Jack Barrow,4,2,0.50,0,0.00,0,0.00,2,0.50,7,1.75,100.00,13,3.25
473,Mark Slader,8,2,0.25,3,0.38,6,0.75,5,0.63,43,5.38,87.80,84,10.50
474,Jasper Tom,5,2,0.40,1,0.20,1,0.20,3,0.60,42,8.40,97.70,70,14.00
475,Connor Ughetta,7,2,0.29,3,0.43,3,0.43,5,0.71,37,5.29,92.50,99,14.14
476,Johnnie Lynch,4,2,0.50,2,0.50,1,0.25,4,1.00,4,1.00,100.00,35,8.75
477,Wayne Lu,4,2,0.50,2,0.50,0,0.00,2,0.50,14,3.50,93.30,58,14.50
478,Mike Cramer,2,2,1.00,0,0.00,0,0.00,2,1.00,2,1.00,100.00,30,15.00
479,Basile Limoges,4,2,0.50,0,0.00,1,0.25,2,0.50,10,2.50,90.90,40,10.00
480,TJ Stanton,7,2,0.29,1,0.14,0,0.00,1,0.14,8,1.14,88.90,63,9.00
481,John Buss,6,2,0.33,0,0.00,2,0.33,3,0.50,14,2.33,100.00,48,8.00
482,Ian Ladner,5,2,0.40,4,0.80,2,0.40,7,1.40,58,11.60,100.00,85,17.00
483,Dennis Casio,11,2,0.18,16,1.45,5,0.45,8,0.73,269,24.45,95.10,247,22.45
484,Henry Schneider,3,2,0.67,3,1.00,3,1.00,8,2.67,26,8.67,100.00,49,16.33
485,Joel Clutton,10,2,0.20,0,0.00,8,0.80,8,0.80,16,1.60,94.10,136,13.60
486,Jesse Johnson,9,2,0.22,0,0.00,3,0.33,1,0.11,21,2.33,84.00,64,7.11
487,Josh McKisic,5,2,0.40,0,0.00,1,0.20,3,0.60,3,0.60,100.00,35,7.00
488,Jakob Brissette,8,2,0.25,5,0.63,2,0.25,6,0.75,59,7.38,96.70,95,11.88
489,Ken Alexander,3,2,0.67,2,0.67,1,0.33,1,0.33,31,10.33,91.20,44,14.67
490,Tyler Thomegreene,4,2,0.50,1,0.25,1,0.25,0,0.00,29,7.25,93.50,54,13.50
491,Evan Karson,6,2,0.33,4,0.67,4,0.67,3,0.50,60,10.00,89.60,71,11.83
492,Jeremy Knopf,6,2,0.33,1,0.17,3,0.50,4,0.67,36,6.00,94.70,77,12.83
493,Alan Scarth,9,2,0.22,9,1.00,4,0.44,5,0.56,105,11.67,92.10,140,15.56
494,Stuart Hean,5,2,0.40,5,1.00,0,0.00,-1,-0.20,47,9.40,88.70,54,10.80
