,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
0,Quentin Bonnaud,12,83,6.92,15,1.25,14,1.17,101,8.42,208,17.33,96.30,284,23.67
1,Rowan McDonnell,13,67,5.15,51,3.92,5,0.38,92,7.08,408,31.38,93.80,359,27.62
2,Ben Jagt,15,67,4.47,64,4.27,14,0.93,111,7.40,287,19.13,91.40,379,25.27
3,Max Sheppard,14,61,4.36,68,4.86,9,0.64,103,7.36,295,21.07,91.00,337,24.07
4,Eli Jaime,10,52,5.20,12,1.20,4,0.40,61,6.10,101,10.10,95.30,211,21.10
5,Conor Kline,15,52,3.47,12,0.80,3,0.20,60,4.00,79,5.27,95.20,234,15.60
6,Sean Ham,12,50,4.17,6,0.50,2,0.17,52,4.33,125,10.42,96.20,283,23.58
7,Rick Gross,13,46,3.54,20,1.54,5,0.38,62,4.77,214,16.46,96.80,290,22.31
8,Henry Fisher,9,43,4.78,14,1.56,1,0.11,55,6.11,173,19.22,98.30,193,21.44
9,Jay Boychuk,11,42,3.82,29,2.64,5,0.45,58,5.27,280,25.45,95.90,270,24.55
10,Joc Jimenez,13,42,3.23,17,1.31,9,0.69,56,4.31,132,10.15,93.60,270,20.77
11,Bradley Seuntjens,12,42,3.50,8,0.67,9,0.75,52,4.33,153,12.75,95.60,326,27.17
12,Bryan Vohnoutka,12,42,3.50,30,2.50,6,0.50,55,4.58,194,16.17,91.50,273,22.75
13,Cameron Brock,13,41,3.15,14,1.08,1,0.08,41,3.15,189,14.54,93.10,280,21.54
14,Himalaya Mehta,11,41,3.73,5,0.45,9,0.82,39,3.55,151,13.73,93.20,203,18.45
15,Carson Wilder,13,41,3.15,31,2.38,8,0.62,66,5.08,173,13.31,92.50,273,21.00
16,Terrence Mitchell,13,40,3.08,14,1.08,5,0.38,47,3.62,143,11.00,94.70,247,19.00
17,Travis Dunn,13,40,3.08,57,4.38,9,0.69,81,6.23,372,28.62,94.20,346,26.62
18,Alec Arsenault,11,40,3.64,26,2.36,9,0.82,52,4.73,190,17.27,90.50,259,23.55
19,Sacha Poitte- Sokolsky,12,39,3.25,18,1.50,3,0.25,38,3.17,256,21.33,94.10,244,20.33
20,Matt Stevens,13,35,2.69,5,0.38,5,0.38,41,3.15,76,5.85,97.40,223,17.15
21,Jeff Babbitt,15,35,2.33,5,0.33,22,1.47,58,3.87,110,7.33,97.30,314,20.93
22,Levi Jacobs,14,34,2.43,37,2.64,4,0.29,43,3.07,230,16.43,89.50,289,20.64
23,Cameron Harris,14,34,2.43,40,2.86,9,0.64,57,4.07,284,20.29,92.50,315,22.50
24,Nathan Hirst,12,33,2.75,34,2.83,4,0.33,46,3.83,190,15.83,89.60,244,20.33
25,Matt Smith,12,33,2.75,23,1.92,8,0.67,50,4.17,264,22.00,96.00,279,23.25
26,Thomas Edmonds,12,32,2.67,43,3.58,5,0.42,54,4.50,670,55.83,96.50,250,20.83
27,Jeremy Hill,11,32,2.91,16,1.45,14,1.27,40,3.64,148,13.45,89.20,248,22.55
28,Danny Landesman,10,32,3.20,13,1.30,4,0.40,44,4.40,108,10.80,97.30,174,17.40
29,Jacob Fairfax,13,31,2.38,41,3.15,8,0.62,65,5.00,189,14.54,94.00,296,22.77
30,Sean McDougall,13,31,2.38,49,3.77,11,0.85,70,5.38,206,15.85,92.80,288,22.15
31,Jacob Fairfax,13,31,2.38,41,3.15,8,0.62,65,5.00,189,14.54,94.00,296,22.77
32,Peter Geertz-Larson,8,30,3.75,5,0.63,1,0.13,31,3.88,52,6.50,91.20,146,18.25
33,Jimmy Towle,13,30,2.31,13,1.00,10,0.77,39,3.00,164,12.62,94.80,257,19.77
34,Andrew Sjogren,10,29,2.90,6,0.60,5,0.50,32,3.20,143,14.30,97.30,226,22.60
35,Jay Froude,13,29,2.23,29,2.23,13,1.00,54,4.15,140,10.77,92.10,256,19.69
36,Wes Groth,13,29,2.23,29,2.23,7,0.54,47,3.62,136,10.46,89.50,235,18.08
37,Brad Houser,8,29,3.63,18,2.25,3,0.38,35,4.38,163,20.38,92.10,193,24.13
38,Quinn Snider,5,29,5.80,6,1.20,4,0.80,37,7.40,47,9.40,95.90,126,25.20
39,Michael Pardo,8,29,3.63,4,0.50,1,0.13,24,3.00,104,13.00,92.00,161,20.13
40,Michael Jordan,11,28,2.55,7,0.64,6,0.55,28,2.55,121,11.00,95.30,229,20.82
41,Jarrod Banks,11,28,2.55,21,1.91,4,0.36,39,3.55,122,11.09,93.10,193,17.55
42,Keegan North,10,28,2.80,34,3.40,5,0.50,47,4.70,303,30.30,95.00,240,24.00
43,Max Cassell,12,28,2.33,26,2.17,1,0.08,38,3.17,313,26.08,95.70,262,21.83
44,Colin Camp,11,27,2.45,18,1.64,2,0.18,36,3.27,166,15.09,95.40,181,16.45
45,Akifumi Muraoka,14,27,1.93,30,2.14,6,0.43,40,2.86,207,14.79,90.00,302,21.57
46,Jonathan Helton,12,27,2.25,44,3.67,11,0.92,57,4.75,308,25.67,93.10,322,26.83
47,Grant Lindsley,12,27,2.25,42,3.50,3,0.25,47,3.92,330,27.50,93.80,289,24.08
48,Jack Shanahan,12,27,2.25,22,1.83,4,0.33,36,3.00,186,15.50,93.50,269,22.42
49,Matthew Rehder,8,27,3.38,17,2.13,17,2.13,44,5.50,131,16.38,89.70,222,27.75
50,Jack Williams,14,27,1.93,43,3.07,9,0.64,56,4.00,442,31.57,95.90,364,26.00
51,Dalton Smith,10,26,2.60,22,2.20,7,0.70,41,4.10,398,39.80,97.30,226,22.60
52,Andrew Carroll,12,25,2.08,34,2.83,6,0.50,43,3.58,266,22.17,94.00,261,21.75
53,Drew Swanson,13,25,1.92,2,0.15,24,1.85,46,3.54,32,2.46,91.40,255,19.62
54,Jesse Cohen,8,25,3.13,16,2.00,1,0.13,33,4.13,121,15.13,94.50,165,20.63
55,Geoff Powell,9,25,2.78,7,0.78,4,0.44,29,3.22,83,9.22,94.30,185,20.56
56,David Colic,10,25,2.50,18,1.80,3,0.30,23,2.30,76,7.60,82.60,199,19.90
57,Kyle Henke,10,24,2.40,31,3.10,7,0.70,41,4.10,197,19.70,92.50,222,22.20
58,Allan Laviolette,11,24,2.18,21,1.91,4,0.36,27,2.45,215,19.55,91.50,238,21.64
59,Garrett Braun,11,24,2.18,15,1.36,5,0.45,32,2.91,173,15.73,95.10,210,19.09
60,Keenan Plew,13,23,1.77,22,1.69,1,0.08,33,2.54,549,42.23,97.90,280,21.54
61,Nick Boucher,12,23,1.92,41,3.42,9,0.75,35,2.92,432,36.00,92.90,289,24.08
62,Rory Orloff,8,23,2.88,5,0.63,1,0.13,18,2.25,103,12.88,92.80,161,20.13
63,Connor Olson,13,23,1.77,13,1.00,9,0.69,32,2.46,206,15.85,94.50,228,17.54
64,Zach Theodore,12,23,1.92,4,0.33,11,0.92,29,2.42,63,5.25,90.00,233,19.42
65,Abe Coffin,14,23,1.64,49,3.50,9,0.64,63,4.50,424,30.29,96.10,284,20.29
66,Austin Riegel,11,22,2.00,0,0.00,2,0.18,14,1.27,40,3.64,85.10,196,17.82
67,Dylan Best,11,22,2.00,17,1.55,0,0.00,23,2.09,264,24.00,95.00,231,21.00
68,Jackson Stearns,11,22,2.00,25,2.27,2,0.18,24,2.18,141,12.82,88.10,322,29.27
69,Greg Ellis,12,22,1.83,26,2.17,8,0.67,22,1.83,340,28.33,93.20,310,25.83
70,Cam Burden,10,21,2.10,28,2.80,7,0.70,37,3.70,343,34.30,94.80,234,23.40
71,Mark Whitton,6,21,3.50,10,1.67,8,1.33,27,4.50,81,13.50,91.00,159,26.50
72,Mischa Freystaetter,9,21,2.33,18,2.00,4,0.44,40,4.44,147,16.33,98.00,195,21.67
73,Lior Givol,7,21,3.00,24,3.43,4,0.57,40,5.71,155,22.14,95.10,193,27.57
74,Keenan Laurence,11,21,1.91,19,1.73,9,0.82,45,4.09,92,8.36,97.90,242,22.00
75,Tyler Bacon,11,20,1.82,26,2.36,5,0.45,34,3.09,244,22.18,93.80,196,17.82
76,Antoine Davis,11,20,1.82,22,2.00,6,0.55,15,1.36,215,19.55,89.20,302,27.45
77,Greg Martin,6,20,3.33,3,0.50,4,0.67,25,4.17,33,5.50,94.30,107,17.83
78,Thomas Slack,11,20,1.82,17,1.55,4,0.36,30,2.73,154,14.00,95.70,218,19.82
79,Munis Thahir,10,20,2.00,8,0.80,5,0.50,25,2.50,93,9.30,96.90,242,24.20
80,Michael Tran,12,19,1.58,15,1.25,5,0.42,20,1.67,459,38.25,96.20,248,20.67
81,Tanner Repasky,12,19,1.58,15,1.25,3,0.25,24,2.00,164,13.67,94.30,221,18.42
82,Tommy Gallagher,12,19,1.58,19,1.58,1,0.08,21,1.75,443,36.92,96.90,265,22.08
83,Mike Arcata,12,19,1.58,26,2.17,6,0.50,32,2.67,141,11.75,89.20,240,20.00
84,Simon Charette,12,18,1.50,2,0.17,2,0.17,16,1.33,96,8.00,95.00,230,19.17
85,Zac Sands,9,18,2.00,2,0.22,5,0.56,16,1.78,61,6.78,89.70,130,14.44
86,Karl Loiseau,11,18,1.64,32,2.91,8,0.73,41,3.73,284,25.82,95.90,258,23.45
87,Kevin Richardson,9,18,2.00,7,0.78,4,0.44,24,2.67,226,25.11,98.70,188,20.89
88,Shane Earley,6,18,3.00,6,1.00,0,0.00,18,3.00,52,8.67,89.70,113,18.83
89,Mathew Ladyman,9,18,2.00,14,1.56,2,0.22,30,3.33,113,12.56,100.00,187,20.78
90,Mathew Ladyman,9,18,2.00,14,1.56,2,0.22,30,3.33,113,12.56,100.00,187,20.78
91,Zac Sands,9,18,2.00,2,0.22,5,0.56,16,1.78,61,6.78,89.70,130,14.44
92,David Hortemiller,12,18,1.50,4,0.33,8,0.67,24,2.00,44,3.67,91.70,202,16.83
93,Kevin Richardson,9,18,2.00,7,0.78,4,0.44,24,2.67,226,25.11,98.70,188,20.89
94,Christian Olsen,11,18,1.64,33,3.00,5,0.45,41,3.73,234,21.27,94.70,238,21.64
95,Zach Sabin,7,17,2.43,8,1.14,14,2.00,37,5.29,59,8.43,98.30,172,24.57
96,David Vatz,8,17,2.13,0,0.00,0,0.00,13,1.63,66,8.25,97.10,138,17.25
